arquivo_origem,link_atual,tipo_de_destino,destino_sugerido,confianca_sugestao,motivo,acao_recomendada
blog/10-artigos-seo-litoral-paulista-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/10-artigos-seo-litoral-paulista-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/10-artigos-seo-litoral-paulista-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/10-artigos-seo-litoral-paulista-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/10-artigos-seo-litoral-paulista-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/5-sinais-imovel-subvalorizado-litoral-2026-08-05.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/5-sinais-imovel-subvalorizado-litoral-2026-08-05.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/5-sinais-imovel-subvalorizado-litoral-2026-08-05.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/5-sinais-imovel-subvalorizado-litoral-2026-08-05.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/5-sinais-imovel-subvalorizado-litoral-2026-08-05.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/ab-testing-anuncios-imobiliarios-locais-litoral-2026.html,../marketing-digital-pequenas-imobiliarias-litoral-2026.html,interno_relativo,blog/marketing-digital-pequenas-imobiliarias-litoral-2026.html,ALTA,slug existe em blog/marketing-digital-pequenas-imobiliarias-litoral-2026.html,corrigir_caminho
blog/ab-testing-anuncios-imobiliarios-locais-litoral-2026.html,../roi-marketing-digital-imobiliaria-litoral-2026.html,interno_relativo,blog/roi-marketing-digital-imobiliaria-litoral-2026.html,ALTA,slug existe em blog/roi-marketing-digital-imobiliaria-litoral-2026.html,corrigir_caminho
blog/abordagem-captacao-imoveis-alto-padrao-litoral-2026.html,prospeccao-proprietarios-imoveis-luxo-litoral-2026.html,interno_relativo,blog/prospeccao-proprietarios-imoveis-luxo-litoral-2026.html,ALTA,destino existe,manter
blog/abordagem-captacao-imoveis-alto-padrao-litoral-2026.html,avaliacao-imoveis-luxo-litoral-2026.html,interno_relativo,blog/avaliacao-imoveis-luxo-litoral-2026.html,ALTA,destino existe,manter
blog/abordagem-captacao-imoveis-alto-padrao-litoral-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/abordagem-captacao-imoveis-alto-padrao-litoral-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/abordagem-captacao-imoveis-alto-padrao-litoral-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/abordagem-captacao-imoveis-alto-padrao-litoral-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
blog/abordagem-captacao-imoveis-alto-padrao-litoral-2026.html,../sitemap.xml,interno_relativo,https://praia.digital/sitemap.xml,BAIXA,arquivo não existe localmente; usar URL absoluta oficial,substituir_por_cdn
blog/abordagem-proprietarios-whatsapp-litoral-2026.html,../education/formacoes/captacao-imoveis.html,interno_relativo,education/formacoes/captacao-imoveis.html,ALTA,destino existe,manter
blog/acelerar-fechamento-vendas-litoral-paulista-2026.html,../crm-para-corretores-primeiro-contato-fechamento.html,interno_relativo,blog/crm-para-corretores-primeiro-contato-fechamento.html,ALTA,slug existe em blog/crm-para-corretores-primeiro-contato-fechamento.html,corrigir_caminho
blog/acelerar-fechamento-vendas-litoral-paulista-2026.html,../roteiro-whatsapp-corretores-litoral-paulista-primeiro-contato-fechamento-2026.html,interno_relativo,blog/roteiro-whatsapp-corretores-litoral-paulista-primeiro-contato-fechamento-2026.html,ALTA,slug existe em blog/roteiro-whatsapp-corretores-litoral-paulista-primeiro-contato-fechamento-2026.html,corrigir_caminho
blog/acelerar-fechamento-vendas-litoral-paulista-2026.html,../education/formacoes/formacao-corretor-imoveis-litoral.html,interno_relativo,education/formacoes/formacao-corretor-imoveis-litoral.html,ALTA,destino existe,manter
blog/acidente-imovel-litoral-responsabilidade-proprietario-2026.html,../protecao-legal-compra-imovel-litoral-2026.html,interno_relativo,blog/protecao-legal-compra-imovel-litoral-2026.html,ALTA,slug existe em blog/protecao-legal-compra-imovel-litoral-2026.html,corrigir_caminho
blog/acordo-imovel-praia-2026.html,../servicos.html,interno_relativo,servicos.html,ALTA,destino existe,manter
blog/acordo-imovel-praia-2026.html,../education/cursos/index.html,interno_relativo,education/cursos/index.html,ALTA,destino existe,manter
blog/acordo-imovel-praia-2026.html,../cidades/santos.html,interno_relativo,cidades/santos.html,ALTA,destino existe,manter
blog/acordo-imovel-praia-2026.html,../bairros/index.html,interno_relativo,bairros/index.html,ALTA,destino existe,manter
