email_to,empresa,message_id,thread_id,date,status
gabriel@beure.com.br,Beure,19f1842952c87b46,19f1842952c87b46,"Tue, 30 Jun 2026 07:20:44 -0400",sent
crre@crre.com.br,CRRE,19f18425e0f96c8d,19f18425e0f96c8d,"Tue, 30 Jun 2026 07:20:30 -0400",sent
contato@oliveiraimoveis.ia.br,Oliveira Imóveis,19f184227962052e,19f184227962052e,"Tue, 30 Jun 2026 07:20:16 -0400",sent
gabriel@beure.com.br,Beure,19f1841c718b0d5e,19f1841c718b0d5e,"Tue, 30 Jun 2026 07:19:51 -0400",sent
crre@crre.com.br,CRRE,19f1841bb9f0ee26,19f1841bb9f0ee26,"Tue, 30 Jun 2026 07:19:48 -0400",sent
contato@declasseimoveis.com.br,Declasse Imóveis,19f1841ba033c66d,19f1841ba033c66d,"Tue, 30 Jun 2026 07:19:48 -0400",sent
contato@oliveiraimoveis.ia.br,Oliveira Imóveis,19f1841b0915c327,19f1841b0915c327,"Tue, 30 Jun 2026 07:19:45 -0400",sent
faleconosco@lopesvalor.com.br,Lopes Valor,19f184180946f95b,19f184180946f95b,"Tue, 30 Jun 2026 07:19:33 -0400",sent
imobiliariacontadei@gmail.com,Imobiliária Contadei,19f18414b6d3eb0b,19f18414b6d3eb0b,"Tue, 30 Jun 2026 07:19:19 -0400",sent
contato@declasseimoveis.com.br,Declasse Imóveis,19f184131c122484,19f184131c122484,"Tue, 30 Jun 2026 07:19:13 -0400",sent
faleconosco@lopesvalor.com.br,Lopes Valor,19f184126f55b10c,19f184126f55b10c,"Tue, 30 Jun 2026 04:19:10 -0700",sent
liottiimobiliaria@gmail.com,Liotti Imobiliária,19f18411441940b9,19f18411441940b9,"Tue, 30 Jun 2026 07:19:06 -0400",sent
imobiliariacontadei@gmail.com,Imobiliária Contadei,19f1840f9a34a8e0,19f1840f9a34a8e0,"Tue, 30 Jun 2026 07:18:59 -0400",sent
liottiimobiliaria@gmail.com,Liotti Imobiliária,19f1840ee13c4da2,19f1840ee13c4da2,"Tue, 30 Jun 2026 07:18:56 -0400",sent
cabana@cabanaimovel.com.br,Cabana Imóvel,19f18409866f4184,19f18409866f4184,"Tue, 30 Jun 2026 07:18:34 -0400",sent
cabana@cabanaimovel.com.br,Cabana Imóvel,19f18403adf32172,19f18403adf32172,"Tue, 30 Jun 2026 04:18:10 -0700",sent
perroneimobiliaria@gmail.com,Perrone Imobiliária,19f18401f1449af5,19f18401f1449af5,"Tue, 30 Jun 2026 04:18:03 -0700",sent
aluguel@imobiliariaei.com.br,Imobiliária EI,19f1840129fde47a,19f1840129fde47a,"Tue, 30 Jun 2026 07:18:00 -0400",sent
vendas@imobiliariaei.com.br,Imobiliária EI,19f18400717361c7,19f18400717361c7,"Tue, 30 Jun 2026 07:17:57 -0400",sent
perroneimobiliaria@gmail.com,Perrone Imobiliária,19f184004dfd827d,19f184004dfd827d,"Tue, 30 Jun 2026 07:17:56 -0400",sent
contato@tawataimoveis.com.br,Tawata Imóveis,19f183fd87f42b1f,19f183fd87f42b1f,"Tue, 30 Jun 2026 07:17:45 -0400",sent
aluguel@imobiliariaei.com.br,Imobiliária EI,19f183fcd78a4696,19f183fcd78a4696,"Tue, 30 Jun 2026 07:17:42 -0400",sent
aluguel@jpibimoveis.com.br,JPI Imóveis,19f183fcd4d005b2,19f183fcd4d005b2,"Tue, 30 Jun 2026 07:17:42 -0400",sent
contato@jpibimoveis.com.br,JPI Imóveis,19f183fc093a3efc,19f183fc093a3efc,"Tue, 30 Jun 2026 04:17:39 -0700",sent
vendas@imobiliariaei.com.br,Imobiliária EI,19f183f96b9ef3da,19f183f96b9ef3da,"Tue, 30 Jun 2026 07:17:28 -0400",sent
vendas.f@imoveisnsr.com.br,NSR Imóveis,19f183f832aa6409,19f183f832aa6409,"Tue, 30 Jun 2026 07:17:23 -0400",sent
contato@mahouse.com.br,Mahouse,19f183f64248e8e8,19f183f64248e8e8,"Tue, 30 Jun 2026 07:17:15 -0400",sent
contato@tawataimoveis.com.br,Tawata Imóveis,19f183f5fae35472,19f183f5fae35472,"Tue, 30 Jun 2026 07:17:14 -0400",sent
aluguel@jpibimoveis.com.br,JPI Imóveis,19f183f29c1a5772,19f183f29c1a5772,"Tue, 30 Jun 2026 07:17:00 -0400",sent
contato@jpibimoveis.com.br,JPI Imóveis,19f183ef3ef096e3,19f183ef3ef096e3,"Tue, 30 Jun 2026 07:16:46 -0400",sent
vendas.f@imoveisnsr.com.br,NSR Imóveis,19f183ebd5571cf3,19f183ebd5571cf3,"Tue, 30 Jun 2026 04:16:32 -0700",sent
contato@mahouse.com.br,Mahouse,19f183e852988a6d,19f183e852988a6d,"Tue, 30 Jun 2026 07:16:18 -0400",sent
